mode:                                             M=0                S=1
 TID                          NAME              maskM              maskS              maskT
---- ----------------------------- ------------------ ------------------ ------------------
   0                        KERNEL 0x000000000000000f 0x0000000000000007 0x0000000000000000
   1                         a3818 0x00000000001fffff 0x0000000000000007 0x0000000000000000
   2                      WaveDump 0x000000000000000f 0x0000000000000007 0x0000000000000000
   3                  artdaqDriver 0x000000000000000f 0x0000000000000007 0x0000000000000000
   4              LoadParameterSet 0x000000000000000f 0x0000000000000007 0x0000000000000000
   5      configureMessageFacility 0x000000000000000f 0x0000000000000007 0x0000000000000000
   6 _CommandableFragmentGenerator 0x000000000000000f 0x0000000000000007 0x0000000000000000
   7              CAENV1730Readout 0x000000000000000f 0x0000000000000007 0x0000000000000000
   8                 MetricManager 0x000000000000000f 0x0000000000000007 0x0000000000000000
   9           SharedMemoryManager 0x000000000000000f 0x0000000000000007 0x0000000000000000
  10     _SharedMemoryEventManager 0x000000000000000f 0x0000000000000007 0x0000000000000000
  11                    PoolBuffer 0x000000000000000f 0x0000000000000007 0x0000000000000000
  12                _RequestSender 0x000000000000000f 0x0000000000000007 0x0000000000000000
  13     SharedMemoryEventReceiver 0x000000000000000f 0x0000000000000007 0x0000000000000000
  14            SharedMemoryReader 0x000000000000000f 0x0000000000000007 0x0000000000000000
1020                         TRACE 0x000000000000000f 0x0000000000000007 0x0000000000000000
1021                       _TRACE_ 0x000000000000000f 0x0000000000000007 0x0000000000000000
